,passed_class,hours_spent_studying_daily,cluster
0,0,1.229653122938033,30
1,1,2.068224196923979,90
2,1,0.49886750757171594,19
3,1,4.240242051382926,74
4,1,7.354249969619999,47
5,0,2.583950470727408,98
6,1,1.326230073069115,0
7,0,7.349317039620008,36
8,0,9.685374869079437,29
9,0,8.880637241041315,89
10,0,0.054207463397094785,37
11,0,7.834428753917784,44
12,1,6.742547663069214,81
13,1,0.3317665064185953,51
14,1,4.271342863542316,71
15,0,3.8308789611435508,0
16,1,0.20550636892955676,10
17,1,1.1975451249335531,93
18,1,3.685020920408035,63
19,0,2.554937146243332,35
20,0,0.3304557459912779,87
21,1,3.7244280140167074,82
22,0,2.5127900617362338,58
23,0,2.091526565955284,75
24,0,5.734634038451689,20
25,0,7.3342899016984795,36
26,1,2.9922807597395,24
27,0,8.980081324292172,13
28,0,2.923820034787483,61
29,0,7.47317866017335,28
30,0,8.238931961422013,36
31,0,8.069210711815282,33
32,0,3.070747185398892,45
33,0,4.620494123000326,14
34,1,4.70936537473071,15
35,1,5.253542074513672,22
36,1,0.7975700047219696,80
37,1,5.6589689034851505,66
38,1,4.690905490616229,66
39,1,10.813990492535096,11
40,0,3.409670987912966,77
41,1,1.573970051303176,65
42,0,1.7697784759330482,25
43,0,4.448997193626153,86
44,1,2.2209136299915544,68
45,0,2.4278260229053865,48
46,0,2.582350296924983,25
47,0,1.600182513153098,40
48,1,3.332971373258981,62
49,1,5.784343614992204,44
50,0,9.74865895619994,89
51,1,2.1730422613890434,93
52,1,2.452947821555707,21
53,1,6.064530737016729,48
54,1,3.8292390911851806,23
55,1,-1.0431720558533053,87
56,1,-0.0867929976525974,60
57,1,6.851762637657208,7
58,0,5.825174478215887,42
59,0,4.351803445113835,46
60,0,2.3244372947902256,68
61,0,9.204609426031281,89
62,1,1.9280120501660054,95
63,1,10.122797546718129,11
64,0,1.870108198778406,57
65,0,2.8784535076428344,51
66,0,1.1615795952448815,80
67,0,7.237744412925325,47
68,0,4.010720813805593,99
69,0,3.256196009389796,99
70,0,3.6794555265323994,83
71,1,7.803432768990616,7
72,1,4.9683216155772625,73
73,0,1.0339904972660505,54
74,1,5.9076097175576665,17
75,0,7.930909903381936,79
76,0,1.0387108575129427,53
77,1,3.2405058896411614,61
78,0,0.7175856777480722,60
79,1,0.3826624409752299,3
80,0,2.669042338736011,68
81,0,3.899372035959388,99
82,0,0.7976691266072873,10
83,0,5.675210920267668,64
84,1,4.508983050746058,74
85,0,5.595785507359826,15
86,0,3.0253501388080286,83
87,0,1.3553297499124386,10
88,0,5.514795293843484,20
89,0,2.292231111600606,75
90,1,1.6028422358339647,45
91,0,-0.05360079636968573,30
92,0,8.460659692708871,28
93,0,8.344019606464341,6
94,0,8.126910786838463,33
95,1,3.639653521760928,97
96,1,0.6291817981592982,67
97,1,0.12729658784584502,10
98,0,1.6645363606269756,3
99,1,2.1476851253403444,99
100,0,0.23923503363035192,93
101,1,2.074291745158041,85
102,0,5.5984678095206615,94
103,0,7.060594369064065,78
104,0,3.71588006590359,63
105,0,8.76223425651058,34
106,1,0.01973898932695406,50
107,1,3.6185548428428773,32
108,0,3.986367294210542,72
109,0,3.2470037360115245,49
110,1,0.17963177188126722,43
111,0,6.126415028096541,96
112,1,1.7975186843652922,35
113,1,3.028031741350148,99
114,1,0.904958637152055,30
115,0,4.896817049740752,92
116,0,4.163838348572212,56
117,1,7.165293506041992,73
118,1,3.8630814176016868,83
119,1,7.610074594114411,13
120,0,1.242195436699399,4
121,1,1.689007926866848,1
122,0,0.12842609343141514,87
123,0,7.779024964435125,79
124,0,6.406333033059055,52
125,0,2.9962778039085505,71
126,0,3.1550839915769657,72
127,1,0.675997521120163,4
128,0,10.633006352805403,70
129,1,6.129763772867008,55
130,1,4.1065828686248365,95
131,0,2.332688945839329,68
132,0,3.5385519658753077,51
133,0,0.47267074870540093,76
134,1,8.054286908661886,52
135,0,2.812543955899861,1
136,1,1.5235184082677249,80
137,1,4.0461175352868715,66
138,0,8.624859247934708,28
139,1,1.0304306078871446,3
140,0,-0.4845880234047798,50
141,1,2.8841894600427858,64
142,1,3.307051013896976,0
143,1,2.6129683419317407,40
144,0,8.224776425884496,27
145,1,3.9921152675124145,0
146,1,4.3117906763629295,82
147,0,9.929888564108483,69
148,0,5.675383529632754,94
149,1,4.8212678548851216,86
150,1,0.6646935177505444,16
151,0,5.983799269172805,15
152,1,2.662010274391074,72
153,0,0.20908735743377188,9
154,0,6.40718968683885,20
155,0,0.3340184301842106,12
156,0,7.0210579875482955,91
157,1,8.092921809516898,28
158,1,0.9866188833124573,58
159,0,8.458967022729306,79
160,1,3.7893453590508677,74
161,1,3.3350851655962828,23
162,1,5.263445364574315,32
163,0,6.336484868647769,13
164,1,5.308706871376504,14
165,1,3.242840527098348,56
166,0,8.047427930620394,27
167,0,9.063681727757164,6
168,0,1.1911105371522281,67
169,1,3.78728934524137,57
170,0,0.7839424249734276,58
171,1,4.828238748964884,14
172,1,-1.7265760469669347,50
173,1,3.5729642072748478,39
174,1,1.986134022141562,10
175,1,3.8992254596988705,25
176,1,4.2840175759274555,5
177,1,3.333158047408797,84
178,0,3.63136948576692,74
179,0,4.27242564732349,99
180,0,10.566014283226444,27
181,0,9.477946348041915,59
182,1,5.585184213649329,5
183,0,5.840651307012883,42
184,1,4.952602931268622,99
185,0,1.1014287051029052,30
186,1,0.3148877528328366,37
187,0,0.09799799479351345,65
188,0,2.319636499305043,98
189,0,3.4390453623035806,38
190,1,6.663211973042962,78
191,1,3.2022597590352673,2
192,1,1.4862019355921052,57
193,0,0.23876396808286915,67
194,0,9.877167200081738,27
195,0,6.738186402552589,22
196,0,-0.25061051249138877,87
197,1,1.0218771414046979,43
198,1,3.9296519966434733,40
199,0,2.8705912068732142,84
200,1,3.8254903096990263,82
201,0,6.891165056289198,81
202,1,4.045140978032469,2
203,1,0.05922449986762979,67
204,1,8.690029763017648,79
205,1,4.842095291345156,71
206,0,6.759993162616768,86
207,0,7.748596341962433,20
208,1,10.965950765080779,41
209,0,5.770303988997446,92
210,1,0.8142405819719316,19
211,1,1.8894847999498114,16
212,1,3.4148179587643614,0
213,0,3.2260468113096112,95
214,1,2.722494685818253,58
215,0,3.901081988023855,92
216,1,9.2824722510376,11
217,1,2.7912778081730196,93
218,1,2.7774584797527946,93
219,0,2.423877095483476,40
220,0,2.62347972876325,68
221,1,8.734074345961105,79
222,0,4.9543837842199725,46
223,1,4.171764137785857,0
224,0,0.7818967803661412,4
225,1,8.713264930214537,70
226,1,2.6204024590939,1
227,0,9.010017389628562,79
228,0,1.37430798203851,72
229,0,2.530838556271997,51
230,0,8.226038590779183,47
231,1,7.85435871163726,20
232,1,1.263603859209642,54
233,1,3.7811896007628474,0
234,1,-1.046964153360689,98
235,1,7.012223209357359,55
236,1,4.090418949831209,99
237,0,5.187894152148642,94
238,0,5.633821429498725,15
239,0,2.8952183195682504,56
240,0,1.3558675836673904,93
241,0,1.6404363624570444,4
242,0,0.04188313199787819,53
243,0,2.470265803091357,12
244,1,6.295282731183361,78
